Course code,Course title,Grade
INF 368,The Go programming language,86
INF 386,Software Testing Foundations,82
INF 392,Blockchain technology,66
INF 405,Personal Development in Computer Science,97
MDE 154,Module of Social and Political Knowledge (Psychology),93
,,SA : 83.09
2023 - 2024. 1,,
CSS 410,Research tools and methods,50
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
INF 228,UX/UI design,60
INF 415,Leadership in IT,43
INF 431,Accounting Information Systems,
MAT 364,Cryptography,51
,,SA : 0
Total Internal Credits : 124,,Grand Average : 80.89
2020 - 2021. 1,,
INF 106,Information and Communications Technologies (Computer Science),* 78
MAT 153,Mathematics for Computer Science 1,* 59
MDE 123,Russian Language 1 (B1 level),* 95
MDE 141,Physical Education 1,* 92
MDE 171,Modern History of Kazakhstan,* 85
,,SA : 82.37
2020 - 2021. 2,,
CEC 102,General English (A2 level),63
CSS 105,Fundamentals of Programming,0
CSS 225,Web programming fundamentals,75
MAT 151,Linear Algebra,67
MAT 156,Discrete Mathematics,84
MDE 131,Turkish Language 1 (А1 level),68
MDE 142,Physical Education 2,95
,,SA : 60.96
,,
2021 - 2022. 1,,
CSS 105,Fundamentals of Programming,61
CSS 152,Physics 1,0
CSS 252,Electronics,65
MDE 113,Kazakh Language 1 (B1 level),68
MDE 143,Physical Education 3,80
MDE 151,Module of Social and Political Knowledge (Political Science),90
MDE 152,Module of Social and Political Knowledge (Sociology),82
,,SA : 58.48
2021 - 2022. 2,,
CSS 108,Programming Technologies and Educational Practice,61
CSS 254,Digital design,72
MAT 251,Probability and Mathematical Statictics,50
MDE 134,Turkish Language 4 (А2 level),65
MDE 144,Physical Education 4,75
MDE 172,Philosophy,94
,,SA : 67.5
2022 - 2023. 1,,
CSS 215,Introduction to Algorithms,85
CSS 216,Mobile Programming,57
CSS 341,Computer organization and architecture,50
CSS 346,FPGA Programming,60
CSS 380,Industrial practice 1,100
,,SA : 42
2022 - 2023. 2,,
CSS 220,Advanced Algorithms,50
CSS 309,Low-level Architecture,60
CSS 342,Software engineering,55
CSS 345,Advanced computer architecture,76
CSS 381,Industrial practice 2,100
CSS 440,Distributed Computing,58
MDE 153,Module of Social and Political Knowledge (Cultural Studies),94
MDE 154,Module of Social and Political Knowledge (Psychology),96
,,SA : 68.57
,,
2023 - 2024. 1,,
CSS 410,Research tools and methods,59
CSS 446,IT audit,41
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
INF 228,UX/UI design,50
INF 360,IT-law,42
INF 405,Personal Development in Computer Science,60
MAT 154,Mathematics for Computer Science 2,55
MDE 162,Law,37
,,SA : 0
Total Internal Credits : 118,,Grand Average : 70.83
2020 - 2021. 1,,
CSS 105,Fundamentals of Programming,66
MAT 151,Linear Algebra,70
MAT 153,Mathematics for Computer Science 1,62
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),80
MDE 131,Turkish Language 1 (А1 level),0
MDE 141,Physical Education 1,90
MDE 171,Modern History of Kazakhstan,78
,,SA : 65.33
2020 - 2021. 2,,
CSS 108,Programming Technologies and Educational Practice,50
INF 106,Information and Communications Technologies (Computer Science),60
MAT 154,Mathematics for Computer Science 2,56
MAT 156,Discrete Mathematics,0
MDE 131,Turkish Language 1 (А1 level),75
MDE 142,Physical Education 2,95
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),0
,,SA : 41.5
2020 - 2021. 3,,
MDE 132,Turkish Language 2 (А1 level),68
,,SA : 68
2021 - 2022. 1,,
CSS 152,Physics 1,50
CSS 215,Introduction to Algorithms,76
INF 202,Database Management Systems 1,73
INF 231,Web programming: front end,89
MDE 113,Kazakh Language 1 (B1 level),80
MDE 133,Turkish Language 3 (А2 level),0
MDE 143,Physical Education 3,75
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),64
,,SA : 66
2021 - 2022. 2,,
CSS 220,Advanced Algorithms,59
INF 232,Web programming: back end,62
INF 305,Database Management Systems 2,79
INF 313,Computer networks 1,54
MDE 114,Kazakh Language 2 (B1 level),58
MDE 144,Physical Education 4,90
,,SA : 64.44
2022 - 2023. 1,,
CSS 324,Introduction to Machine Learning,90
CSS 380,Industrial practice 1,50
INF 361,Information Theory,0
INF 376,Natural Language Processing,0
MAT 251,Probability and Mathematical Statictics,56
MDE 133,Turkish Language 3 (А2 level),0
MDE 151,Module of Social and Political Knowledge (Political Science),72
MDE 152,Module of Social and Political Knowledge (Sociology),84
,,SA : 38.59
2022 - 2023. 2,,
CSS 381,Industrial practice 2,50
CSS 411,Advanced Programming using JAVA EE,63
INF 261,Game Physics,54
INF 362,Design for Manufacture,0
INF 369,Data visuallisation and storytelling,0
MDE 153,Module of Social and Political Knowledge (Cultural Studies),93
MDE 154,Module of Social and Political Knowledge (Psychology),97
MDE 172,Philosophy,58
,,SA : 43.5
2023 - 2024. 1,,
CSS 410,Research tools and methods,0
CSS 450,Industrial project (Introduction),24
CSS 451,Industrial project (Development),24
CSS 452,Industrial project (Design),24
CSS 453,Industrial project (Testing),24
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
,,SA : 0
Total Internal Credits : 109,,Grand Average : 55.72
2020 - 2021. 1,,
CEC 102,General English (A2 level),88
CSS 105,Fundamentals of Programming,75
MAT 151,Linear Algebra,88
MAT 153,Mathematics for Computer Science 1,70
MDE 131,Turkish Language 1 (А1 level),90
MDE 141,Physical Education 1,95
MDE 171,Modern History of Kazakhstan,90
,,SA : 83
2020 - 2021. 2,,
CSS 108,Programming Technologies and Educational Practice,77
INF 106,Information and Communications Technologies (Computer Science),87
MAT 154,Mathematics for Computer Science 2,74
MAT 156,Discrete Mathematics,71
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),78
MDE 132,Turkish Language 2 (А1 level),90
MDE 142,Physical Education 2,95
,,SA : 79.83
2021 - 2022. 1,,
CSS 152,Physics 1,55
CSS 215,Introduction to Algorithms,67
INF 202,Database Management Systems 1,75
INF 231,Web programming: front end,100
MDE 123,Russian Language 1 (B1 level),89
MDE 133,Turkish Language 3 (А2 level),64
MDE 143,Physical Education 3,95
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),76
,,SA : 76.91
2021 - 2022. 2,,
CSS 220,Advanced Algorithms,80
INF 232,Web programming: back end,93
INF 305,Database Management Systems 2,78
INF 313,Computer networks 1,78
MDE 124,Russian Language 2 (B1 level),90
MDE 134,Turkish Language 4 (А2 level),73
MDE 144,Physical Education 4,85
,,SA : 82.8
2022 - 2023. 1,,
CSS 216,Mobile Programming,73
CSS 380,Industrial practice 1,70
INF 328,3D modeling,95
INF 357,Introduction to Unity programming,94
MAT 251,Probability and Mathematical Statictics,57
MDE 151,Module of Social and Political Knowledge (Political Science),83
MDE 152,Module of Social and Political Knowledge (Sociology),89
MDE 162,Law,80
,,SA : 80.66
2022 - 2023. 2,,
CSS 381,Industrial practice 2,70
INF 363,Advanced VFX and Post Production,95
INF 367,3D Animation And Visual Effects,82
INF 368,The Go programming language,87
INF 386,Software Testing Foundations,79
MDE 153,Module of Social and Political Knowledge (Cultural Studies),92
MDE 154,Module of Social and Political Knowledge (Psychology),97
MDE 172,Philosophy,83
,,SA : 85.93
2023 - 2024. 1,,
CSS 410,Research tools and methods,47
CSS 465,Project Management,
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
INF 338,Linux Administration,24
INF 405,Personal Development in Computer Science,59
INF 426,IT Asset Management,
,,SA : 0
Total Internal Credits : 118,,Grand Average : 81.36
2020 - 2021. 1,,
MAT 104,Linear Algebra and Analytic Geometry,100
MAT 105,Introductory mathematics,96
MCM 107,Fundamentals of Programming,97
MCM 111,Mathematical analysis 1,77
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),89
MDE 131,Turkish Language 1 (А1 level),97
MDE 141,Physical Education 1,95
MDE 171,Modern History of Kazakhstan,95
,,SA : 92.42
2020 - 2021. 2,,
CSS 108,Programming Technologies and Educational Practice,86
INF 101,Information and Communication Technologies,91
MAT 119,Additional chapters of linear algebra,94
MCM 102,Mathematical analysis 2,56
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),89
MDE 132,Turkish Language 2 (А1 level),95
MDE 142,Physical Education 2,95
